episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,256,0.9976,0.0000,256,0.002677,,
2,512,0.9945,0.0000,256,0.000494,,
3,768,0.9913,0.0000,256,0.000588,,
4,1024,0.9881,0.0000,256,0.000639,,
5,1152,0.9865,0.5500,128,0.000649,,
6,1408,0.9834,0.0000,256,0.000860,,
7,1664,0.9802,0.0000,256,0.000793,,
8,1777,0.9788,0.6027,113,0.000663,,
9,2033,0.9756,0.0000,256,0.000820,,
10,2289,0.9724,0.0000,256,0.001220,,
11,2394,0.9711,0.6309,105,0.000855,,
12,2650,0.9680,0.0000,256,0.000984,,
13,2866,0.9653,0.2406,216,0.001053,,
14,3122,0.9621,0.0000,256,0.000893,,
15,3297,0.9600,0.3848,175,0.001341,,
16,3360,0.9592,0.7785,63,0.000802,,
17,3616,0.9560,0.0000,256,0.001725,,
18,3872,0.9529,0.0000,256,0.001156,,
19,4113,0.9499,0.1527,241,0.001404,,
20,4369,0.9467,0.0000,256,0.000911,,
21,4625,0.9435,0.0000,256,0.001307,,
22,4881,0.9404,0.0000,256,0.001236,,
23,4928,0.9398,0.8348,47,0.001423,,
24,5072,0.9380,0.4938,144,0.000914,,
25,5325,0.9349,0.1105,253,0.001670,,
26,5581,0.9317,0.0000,256,0.001524,,
27,5759,0.9295,0.3742,178,0.001021,,
28,6015,0.9263,0.0000,256,0.001399,,
29,6271,0.9232,0.0000,256,0.001094,,
30,6527,0.9200,0.0000,256,0.000921,,
31,6613,0.9189,0.6977,86,0.002138,,
32,6648,0.9185,0.8770,35,0.001386,,
33,6904,0.9154,0.0000,256,0.001182,,
34,7160,0.9122,0.0000,256,0.001371,,
35,7416,0.9090,0.0000,256,0.001523,,
36,7672,0.9059,0.0000,256,0.001405,,
37,7928,0.9027,0.0000,256,0.001300,,
38,7983,0.9020,0.8066,55,0.001333,,
39,8067,0.9010,0.7047,84,0.002324,,
40,8323,0.8978,0.0000,256,0.001020,,
41,8380,0.8971,0.7996,57,0.000955,,
42,8636,0.8939,0.0000,256,0.001457,,
43,8892,0.8908,0.0000,256,0.001350,,
44,9148,0.8876,0.0000,256,0.001373,,
45,9404,0.8844,0.0000,256,0.001464,,
46,9616,0.8818,0.2547,212,0.001074,,
47,9872,0.8786,0.0000,256,0.001266,,
48,10124,0.8755,0.1141,252,0.001363,,
49,10380,0.8723,0.0000,256,0.001864,,
50,10619,0.8694,0.1598,239,0.001310,,
51,10875,0.8662,0.0000,256,0.001435,,
52,11003,0.8646,0.5500,128,0.001493,,
53,11076,0.8637,0.7434,73,0.001242,,
54,11135,0.8630,0.7926,59,0.001327,,
55,11300,0.8610,0.4199,165,0.001820,,
56,11391,0.8598,0.6801,91,0.001976,,
57,11647,0.8566,0.0000,256,0.001594,,
58,11852,0.8541,0.2793,205,0.002189,,
59,11992,0.8524,0.5078,140,0.001478,,
60,12248,0.8492,0.0000,256,0.001983,,
61,12502,0.8461,0.1070,254,0.001975,,
62,12655,0.8442,0.4621,153,0.001491,,
63,12911,0.8410,0.0000,256,0.001288,,
64,12994,0.8400,0.7082,83,0.002391,,
65,13250,0.8368,0.0000,256,0.002118,,
66,13381,0.8352,0.5395,131,0.001501,,
67,13469,0.8341,0.6906,88,0.002267,,
68,13533,0.8333,0.7750,64,0.000940,,
69,13749,0.8306,0.2406,216,0.001670,,
70,13940,0.8283,0.3285,191,0.001732,,
71,14079,0.8266,0.5113,139,0.001352,,
72,14180,0.8253,0.6449,101,0.001599,,
73,14436,0.8221,0.0000,256,0.001554,,
74,14692,0.8190,0.0000,256,0.002013,,
75,14858,0.8169,0.4164,166,0.002119,,
76,15114,0.8137,0.0000,256,0.001608,,
77,15370,0.8106,0.0000,256,0.001769,,
78,15563,0.8082,0.3215,193,0.001810,,
79,15645,0.8071,0.7117,82,0.001875,,
80,15710,0.8064,0.7715,65,0.001992,,
81,15966,0.8032,0.0000,256,0.001498,,
82,16222,0.8000,0.0000,256,0.002010,,
83,16440,0.7973,0.2336,218,0.002635,,
84,16497,0.7966,0.7996,57,0.002391,,
85,16753,0.7934,0.0000,256,0.001829,,
86,16826,0.7925,0.7434,73,0.002144,,
87,16891,0.7918,0.7715,65,0.001337,,
88,17147,0.7886,0.0000,256,0.001973,,
89,17185,0.7881,0.8664,38,0.001060,,
90,17441,0.7849,0.0000,256,0.001691,,
91,17669,0.7821,0.1984,228,0.001694,,
92,17790,0.7806,0.5746,121,0.002023,,
93,17843,0.7800,0.8137,53,0.001182,,
94,18099,0.7768,0.0000,256,0.001859,,
95,18355,0.7736,0.0000,256,0.002019,,
96,18439,0.7726,0.7047,84,0.001903,,
97,18616,0.7704,0.3777,177,0.002308,,
98,18818,0.7679,0.2898,202,0.002820,,
99,18860,0.7674,0.8523,42,0.001875,,
100,19111,0.7643,0.1176,251,0.001463,,
101,19275,0.7623,0.4234,164,0.002161,,
102,19380,0.7610,0.6309,105,0.001715,,
103,19453,0.7600,0.7434,73,0.001309,,
104,19532,0.7591,0.7223,79,0.002224,,
105,19788,0.7559,0.0000,256,0.002035,,
106,20044,0.7527,0.0000,256,0.001850,,
107,20300,0.7496,0.0000,256,0.002431,,
108,20320,0.7493,0.9297,20,0.002380,,
109,20516,0.7469,0.3109,196,0.002085,,
110,20539,0.7466,0.9191,23,0.001158,,
111,20795,0.7434,0.0000,256,0.001799,,
112,20915,0.7420,0.5781,120,0.002788,,
113,21171,0.7388,0.0000,256,0.002216,,
114,21427,0.7356,0.0000,256,0.002685,,
115,21611,0.7333,0.3531,184,0.001625,,
116,21723,0.7320,0.6062,112,0.002769,,
117,21979,0.7288,0.0000,256,0.001333,,
118,22226,0.7257,0.1316,247,0.001810,,
119,22363,0.7240,0.5184,137,0.001343,,
120,22509,0.7222,0.4867,146,0.001715,,
121,22723,0.7196,0.2477,214,0.002260,,
122,22779,0.7189,0.8031,56,0.002278,,
123,22885,0.7176,0.6273,106,0.002256,,
124,22948,0.7168,0.7785,63,0.002299,,
125,23078,0.7152,0.5430,130,0.002325,,
126,23212,0.7135,0.5289,134,0.002048,,
127,23343,0.7119,0.5395,131,0.001802,,
128,23599,0.7087,0.0000,256,0.002128,,
129,23636,0.7083,0.8699,37,0.001077,,
130,23723,0.7072,0.6941,87,0.001525,,
131,23979,0.7040,0.0000,256,0.002278,,
132,24142,0.7020,0.4270,163,0.001935,,
133,24222,0.7010,0.7188,80,0.002415,,
134,24359,0.6993,0.5184,137,0.001334,,
135,24516,0.6974,0.4480,157,0.001761,,
136,24772,0.6942,0.0000,256,0.002695,,
137,25028,0.6911,0.0000,256,0.001900,,
138,25284,0.6879,0.0000,256,0.002265,,
139,25452,0.6858,0.4094,168,0.002690,,
140,25708,0.6827,0.0000,256,0.001969,,
141,25741,0.6822,0.8840,33,0.001345,,
