episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,256,0.9976,0.0000,256,0.002243,,
2,512,0.9945,0.0000,256,0.000673,,
3,768,0.9913,0.0000,256,0.002342,,
4,1024,0.9881,0.0000,256,0.003330,,
5,1152,0.9865,0.5500,128,0.005005,,
6,1408,0.9834,0.0000,256,0.004861,,
7,1664,0.9802,0.0000,256,0.003285,,
8,1920,0.9770,0.0000,256,0.002307,,
9,2101,0.9748,0.3637,181,0.002159,,
10,2357,0.9716,0.0000,256,0.003220,,
11,2613,0.9684,0.0000,256,0.006904,,
12,2869,0.9653,0.0000,256,0.003896,,
13,3125,0.9621,0.0000,256,0.005522,,
14,3360,0.9592,0.1738,235,0.003862,,
15,3616,0.9560,0.0000,256,0.006122,,
16,3872,0.9529,0.0000,256,0.005198,,
17,4128,0.9497,0.0000,256,0.008236,,
18,4384,0.9465,0.0000,256,0.006430,,
19,4513,0.9449,0.5465,129,0.007016,,
20,4769,0.9417,0.0000,256,0.004898,,
21,5025,0.9386,0.0000,256,0.004017,,
22,5080,0.9379,0.8066,55,0.002645,,
23,5330,0.9348,0.1211,250,0.003980,,
24,5586,0.9316,0.0000,256,0.003998,,
25,5842,0.9285,0.0000,256,0.002322,,
26,6098,0.9253,0.0000,256,0.002740,,
27,6354,0.9221,0.0000,256,0.002037,,
28,6610,0.9190,0.0000,256,0.001901,,
29,6648,0.9185,0.8664,38,0.001428,,
30,6904,0.9154,0.0000,256,0.002574,,
31,7160,0.9122,0.0000,256,0.002253,,
32,7389,0.9093,0.1949,229,0.002024,,
33,7515,0.9078,0.5570,126,0.001991,,
34,7771,0.9046,0.0000,256,0.001490,,
35,8027,0.9014,0.0000,256,0.003887,,
36,8283,0.8983,0.0000,256,0.003168,,
37,8484,0.8958,0.2934,201,0.002853,,
38,8740,0.8926,0.0000,256,0.003550,,
39,8857,0.8911,0.5887,117,0.007478,,
40,9025,0.8891,0.4094,168,0.006164,,
41,9281,0.8859,0.0000,256,0.010427,,
42,9537,0.8827,0.0000,256,0.005643,,
43,9793,0.8796,0.0000,256,0.003929,,
44,9888,0.8784,0.6660,95,0.003361,,
45,10018,0.8768,0.5430,130,0.002525,,
46,10274,0.8736,0.0000,256,0.002891,,
47,10453,0.8714,0.3707,179,0.002584,,
48,10709,0.8682,0.0000,256,0.001869,,
49,10965,0.8651,0.0000,256,0.002309,,
50,11221,0.8619,0.0000,256,0.002242,,
51,11300,0.8610,0.7223,79,0.002591,,
52,11556,0.8578,0.0000,256,0.002187,,
53,11812,0.8546,0.0000,256,0.002526,,
54,12068,0.8515,0.0000,256,0.003821,,
