episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,240,0.9978,0.1562,240,0.001771,,
2,360,0.9963,0.5781,120,0.000037,,
3,616,0.9932,0.0000,256,0.000438,,
4,872,0.9900,0.0000,256,0.000614,,
5,1029,0.9880,0.4480,157,0.000331,,
6,1285,0.9849,0.0000,256,0.000476,,
7,1541,0.9817,0.0000,256,0.000052,,
8,1622,0.9807,0.7152,81,0.000389,,
9,1878,0.9775,0.0000,256,0.000376,,
10,2011,0.9759,0.5324,133,0.000090,,
11,2267,0.9727,0.0000,256,0.000497,,
12,2432,0.9707,0.4199,165,0.000816,,
13,2688,0.9675,0.0000,256,0.000395,,
14,2944,0.9644,0.0000,256,0.000427,,
15,3200,0.9612,0.0000,256,0.000382,,
16,3456,0.9580,0.0000,256,0.000360,,
17,3712,0.9549,0.0000,256,0.000328,,
18,3968,0.9517,0.0000,256,0.000264,,
19,4096,0.9501,0.5500,128,0.000321,,
20,4352,0.9469,0.0000,256,0.000233,,
21,4608,0.9438,0.0000,256,0.000275,,
22,4864,0.9406,0.0000,256,0.000227,,
23,5120,0.9374,0.0000,256,0.000158,,
24,5376,0.9343,0.0000,256,0.000249,,
25,5632,0.9311,0.0000,256,0.000397,,
26,5888,0.9279,0.0000,256,0.000027,,
27,5993,0.9266,0.6309,105,0.000227,,
28,6249,0.9234,0.0000,256,0.000165,,
29,6505,0.9203,0.0000,256,0.000524,,
30,6761,0.9171,0.0000,256,0.000051,,
31,7001,0.9141,0.1562,240,0.000338,,
32,7257,0.9109,0.0000,256,0.000371,,
33,7513,0.9078,0.0000,256,0.000206,,
34,7744,0.9050,0.1879,231,0.000343,,
35,8000,0.9018,0.0000,256,0.000144,,
36,8152,0.8999,0.4656,152,0.000068,,
37,8408,0.8967,0.0000,256,0.000230,,
38,8664,0.8936,0.0000,256,0.000362,,
39,8920,0.8904,0.0000,256,0.000301,,
40,9176,0.8872,0.0000,256,0.000271,,
41,9432,0.8841,0.0000,256,0.000106,,
42,9688,0.8809,0.0000,256,0.000218,,
43,9944,0.8777,0.0000,256,0.000183,,
44,10200,0.8746,0.0000,256,0.000397,,
45,10456,0.8714,0.0000,256,0.000206,,
46,10672,0.8687,0.2406,216,0.000187,,
47,10813,0.8669,0.5043,141,0.000017,,
48,11069,0.8638,0.0000,256,0.000149,,
49,11325,0.8606,0.0000,256,0.000022,,
50,11412,0.8596,0.6941,87,0.000253,,
51,11654,0.8565,0.1492,242,0.000324,,
52,11847,0.8542,0.3215,193,0.000099,,
53,12103,0.8510,0.0000,256,0.000205,,
54,12237,0.8493,0.5289,134,0.000468,,
55,12493,0.8462,0.0000,256,0.000064,,
56,12749,0.8430,0.0000,256,0.000142,,
57,13005,0.8398,0.0000,256,0.000052,,
58,13261,0.8366,0.0000,256,0.000388,,
59,13482,0.8339,0.2230,221,0.000126,,
60,13697,0.8313,0.2441,215,0.000212,,
61,13784,0.8302,0.6941,87,0.000748,,
62,14040,0.8270,0.0000,256,0.000233,,
63,14296,0.8239,0.0000,256,0.000238,,
64,14414,0.8224,0.5852,118,0.000467,,
65,14670,0.8192,0.0000,256,0.000328,,
66,14788,0.8178,0.5852,118,0.000160,,
67,14879,0.8167,0.6801,91,0.000282,,
68,15135,0.8135,0.0000,256,0.000190,,
69,15391,0.8103,0.0000,256,0.000201,,
70,15461,0.8094,0.7539,70,0.000047,,
71,15693,0.8066,0.1844,232,0.000462,,
72,15913,0.8038,0.2266,220,0.000204,,
73,16169,0.8007,0.0000,256,0.000167,,
74,16425,0.7975,0.0000,256,0.000575,,
75,16545,0.7960,0.5781,120,0.000222,,
76,16678,0.7944,0.5324,133,0.000604,,
77,16926,0.7913,0.1281,248,0.000265,,
78,17182,0.7881,0.0000,256,0.000567,,
79,17438,0.7850,0.0000,256,0.000217,,
80,17520,0.7840,0.7117,82,0.000283,,
81,17663,0.7822,0.4973,143,0.000213,,
82,17706,0.7817,0.8488,43,0.000037,,
83,17924,0.7790,0.2336,218,0.000332,,
84,17976,0.7783,0.8172,52,0.000211,,
85,18118,0.7766,0.5008,142,0.000222,,
86,18146,0.7762,0.9016,28,0.000138,,
87,18191,0.7757,0.8418,45,0.000259,,
88,18447,0.7725,0.0000,256,0.000329,,
89,18703,0.7693,0.0000,256,0.000032,,
90,18959,0.7662,0.0000,256,0.000647,,
91,19138,0.7639,0.3707,179,0.000266,,
92,19289,0.7621,0.4691,151,0.000428,,
93,19399,0.7607,0.6133,110,0.000796,,
94,19655,0.7575,0.0000,256,0.000363,,
95,19808,0.7557,0.4621,153,0.000115,,
96,19852,0.7551,0.8453,44,0.001019,,
97,19912,0.7544,0.7891,60,0.001200,,
98,20168,0.7512,0.0000,256,0.000737,,
99,20203,0.7508,0.8770,35,0.001098,,
100,20321,0.7493,0.5852,118,0.000347,,
101,20568,0.7463,0.1316,247,0.000264,,
102,20595,0.7459,0.9051,27,0.000320,,
103,20851,0.7427,0.0000,256,0.000974,,
104,21107,0.7396,0.0000,256,0.000438,,
105,21361,0.7364,0.1070,254,0.000409,,
106,21550,0.7341,0.3355,189,0.000234,,
107,21725,0.7319,0.3848,175,0.000275,,
108,21782,0.7312,0.7996,57,0.000444,,
109,21884,0.7300,0.6414,102,0.001765,,
110,21927,0.7294,0.8488,43,0.001092,,
111,22183,0.7263,0.0000,256,0.000553,,
112,22439,0.7231,0.0000,256,0.000598,,
113,22695,0.7199,0.0000,256,0.000228,,
114,22750,0.7192,0.8066,55,0.000603,,
115,22899,0.7174,0.4762,149,0.001067,,
116,22942,0.7169,0.8488,43,0.000004,,
117,23130,0.7145,0.3391,188,0.000700,,
118,23206,0.7136,0.7328,76,0.000614,,
119,23407,0.7111,0.2934,201,0.000961,,
120,23581,0.7089,0.3883,174,0.001204,,
121,23837,0.7058,0.0000,256,0.000834,,
122,23895,0.7051,0.7961,58,0.000578,,
123,24012,0.7036,0.5887,117,0.000500,,
124,24266,0.7005,0.1070,254,0.001157,,
