experiment,success_rate,avg_reward,std_reward,avg_length
ablation_gamma0.999_seed0,1.0,0.9613281249999995,4.440892098500626e-16,11.0
ablation_gamma0.99_seed0,1.0,0.9613281249999995,4.440892098500626e-16,11.0
ablation_gamma0.9_seed0,1.0,0.9613281249999995,4.440892098500626e-16,11.0
ablation_no_target_seed0,0.0,0.0,0.0,256.0
baseline_seed0,0.0,0.0,0.0,256.0
baseline_seed1,1.0,0.954296875,0.0,13.0
baseline_seed2,1.0,0.9613281249999995,4.440892098500626e-16,11.0
reward_shaping_seed0,1.0,0.9613281249999995,4.440892098500626e-16,11.0
reward_shaping_seed1,1.0,0.9613281249999995,4.440892098500626e-16,11.0
reward_shaping_seed2,1.0,0.9613281249999995,4.440892098500626e-16,11.0
