episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,256,0.9976,0.0000,256,0.002083,,
2,338,0.9966,0.7117,82,0.000824,,
3,594,0.9934,0.0000,256,0.002183,,
4,850,0.9902,0.0000,256,0.001825,,
5,1106,0.9871,0.0000,256,0.001563,,
6,1362,0.9839,0.0000,256,0.001263,,
7,1618,0.9807,0.0000,256,0.001365,,
8,1874,0.9776,0.0000,256,0.001026,,
9,1985,0.9762,0.6098,111,0.000819,,
10,2241,0.9730,0.0000,256,0.001368,,
11,2446,0.9705,0.2793,205,0.001069,,
12,2702,0.9673,0.0000,256,0.000998,,
13,2928,0.9646,0.2055,226,0.001498,,
14,3141,0.9619,0.2512,213,0.000916,,
15,3397,0.9587,0.0000,256,0.001116,,
16,3653,0.9555,0.0000,256,0.001213,,
17,3909,0.9524,0.0000,256,0.000936,,
18,4165,0.9492,0.0000,256,0.000834,,
19,4421,0.9460,0.0000,256,0.001222,,
20,4677,0.9429,0.0000,256,0.000798,,
21,4933,0.9397,0.0000,256,0.000807,,
22,5189,0.9365,0.0000,256,0.001009,,
23,5226,0.9361,0.8699,37,0.001749,,
24,5482,0.9329,0.0000,256,0.001102,,
25,5727,0.9299,0.1387,245,0.001019,,
26,5823,0.9287,0.6625,96,0.000801,,
27,6079,0.9256,0.0000,256,0.001229,,
28,6335,0.9224,0.0000,256,0.001174,,
29,6591,0.9192,0.0000,256,0.001046,,
30,6847,0.9160,0.0000,256,0.001413,,
31,7103,0.9129,0.0000,256,0.001241,,
32,7328,0.9101,0.2090,225,0.000963,,
33,7451,0.9086,0.5676,123,0.001175,,
34,7668,0.9059,0.2371,217,0.000811,,
35,7924,0.9027,0.0000,256,0.000862,,
36,8180,0.8996,0.0000,256,0.001088,,
37,8436,0.8964,0.0000,256,0.001326,,
38,8692,0.8932,0.0000,256,0.001517,,
39,8948,0.8901,0.0000,256,0.001084,,
40,9197,0.8869,0.1246,249,0.001034,,
41,9453,0.8838,0.0000,256,0.001380,,
42,9655,0.8813,0.2898,202,0.001197,,
43,9736,0.8803,0.7152,81,0.001224,,
44,9992,0.8771,0.0000,256,0.001059,,
45,10248,0.8740,0.0000,256,0.001341,,
46,10326,0.8730,0.7258,78,0.001994,,
47,10582,0.8698,0.0000,256,0.001316,,
48,10742,0.8678,0.4375,160,0.001182,,
49,10805,0.8670,0.7785,63,0.000845,,
50,10887,0.8661,0.7117,82,0.000998,,
51,11062,0.8639,0.3848,175,0.001152,,
52,11138,0.8629,0.7328,76,0.000921,,
53,11394,0.8598,0.0000,256,0.001875,,
54,11650,0.8566,0.0000,256,0.001537,,
55,11796,0.8548,0.4867,146,0.001048,,
56,11959,0.8528,0.4270,163,0.001190,,
57,12215,0.8496,0.0000,256,0.001530,,
58,12384,0.8475,0.4059,169,0.001625,,
59,12640,0.8444,0.0000,256,0.001264,,
60,12714,0.8434,0.7398,74,0.001246,,
61,12970,0.8403,0.0000,256,0.001598,,
62,13226,0.8371,0.0000,256,0.001098,,
63,13452,0.8343,0.2055,226,0.001336,,
64,13708,0.8312,0.0000,256,0.001154,,
65,13964,0.8280,0.0000,256,0.001572,,
66,14220,0.8248,0.0000,256,0.001258,,
67,14435,0.8221,0.2441,215,0.001313,,
68,14629,0.8197,0.3180,194,0.001050,,
69,14705,0.8188,0.7328,76,0.001849,,
70,14760,0.8181,0.8066,55,0.001574,,
71,15016,0.8150,0.0000,256,0.001472,,
72,15094,0.8140,0.7258,78,0.001875,,
73,15263,0.8119,0.4059,169,0.001960,,
74,15496,0.8090,0.1809,233,0.001399,,
75,15633,0.8073,0.5184,137,0.001333,,
76,15853,0.8046,0.2266,220,0.001399,,
77,15970,0.8031,0.5887,117,0.001541,,
78,16226,0.8000,0.0000,256,0.001623,,
79,16482,0.7968,0.0000,256,0.001287,,
80,16738,0.7936,0.0000,256,0.001470,,
81,16994,0.7905,0.0000,256,0.001187,,
82,17250,0.7873,0.0000,256,0.001233,,
83,17328,0.7864,0.7258,78,0.001493,,
84,17442,0.7849,0.5992,114,0.001464,,
85,17588,0.7831,0.4867,146,0.001064,,
86,17637,0.7825,0.8277,49,0.002461,,
87,17713,0.7816,0.7328,76,0.001425,,
88,17969,0.7784,0.0000,256,0.001861,,
89,18225,0.7752,0.0000,256,0.001790,,
90,18481,0.7721,0.0000,256,0.002029,,
91,18737,0.7689,0.0000,256,0.001776,,
92,18993,0.7657,0.0000,256,0.001482,,
93,19249,0.7625,0.0000,256,0.001475,,
94,19505,0.7594,0.0000,256,0.001310,,
95,19698,0.7570,0.3215,193,0.001567,,
96,19904,0.7545,0.2758,206,0.001210,,
97,19930,0.7541,0.9086,26,0.002636,,
98,20186,0.7510,0.0000,256,0.001636,,
99,20322,0.7493,0.5219,136,0.001313,,
100,20533,0.7467,0.2582,211,0.001567,,
101,20772,0.7437,0.1598,239,0.001997,,
102,20920,0.7419,0.4797,148,0.001555,,
103,21176,0.7387,0.0000,256,0.001753,,
104,21405,0.7359,0.1949,229,0.001951,,
105,21499,0.7347,0.6695,94,0.001457,,
106,21532,0.7343,0.8840,33,0.001050,,
107,21570,0.7338,0.8664,38,0.002221,,
108,21619,0.7332,0.8277,49,0.000852,,
109,21875,0.7301,0.0000,256,0.001708,,
110,22094,0.7274,0.2301,219,0.002093,,
111,22350,0.7242,0.0000,256,0.001749,,
112,22493,0.7224,0.4973,143,0.001556,,
113,22570,0.7215,0.7293,77,0.003172,,
114,22594,0.7212,0.9156,24,0.000984,,
115,22645,0.7205,0.8207,51,0.001612,,
116,22901,0.7174,0.0000,256,0.001946,,
117,23157,0.7142,0.0000,256,0.001985,,
118,23194,0.7137,0.8699,37,0.002594,,
119,23268,0.7129,0.7398,74,0.002768,,
120,23524,0.7097,0.0000,256,0.002118,,
121,23777,0.7065,0.1105,253,0.001468,,
122,23881,0.7052,0.6344,104,0.000990,,
123,24081,0.7028,0.2969,200,0.001723,,
124,24148,0.7020,0.7645,67,0.001823,,
125,24299,0.7001,0.4691,151,0.001844,,
126,24507,0.6975,0.2687,208,0.002027,,
127,24636,0.6959,0.5465,129,0.001451,,
128,24844,0.6933,0.2687,208,0.002040,,
129,24991,0.6915,0.4832,147,0.001493,,
130,25079,0.6904,0.6906,88,0.002466,,
131,25335,0.6873,0.0000,256,0.001649,,
132,25591,0.6841,0.0000,256,0.001274,,
133,25847,0.6809,0.0000,256,0.002316,,
134,25952,0.6796,0.6309,105,0.001465,,
135,25998,0.6790,0.8383,46,0.001443,,
136,26254,0.6759,0.0000,256,0.002494,,
137,26325,0.6750,0.7504,71,0.003353,,
138,26552,0.6722,0.2020,227,0.001435,,
139,26644,0.6711,0.6766,92,0.004178,,
140,26900,0.6679,0.0000,256,0.001688,,
141,27090,0.6655,0.3320,190,0.001639,,
142,27346,0.6624,0.0000,256,0.002131,,
143,27364,0.6622,0.9367,18,0.001656,,
144,27487,0.6606,0.5676,123,0.002399,,
145,27636,0.6588,0.4762,149,0.001938,,
146,27673,0.6583,0.8699,37,0.002892,,
147,27710,0.6579,0.8699,37,0.002171,,
148,27837,0.6563,0.5535,127,0.001738,,
149,27882,0.6557,0.8418,45,0.002575,,
150,28138,0.6526,0.0000,256,0.002245,,
151,28394,0.6494,0.0000,256,0.002442,,
152,28650,0.6462,0.0000,256,0.001628,,
153,28906,0.6431,0.0000,256,0.001604,,
154,29007,0.6418,0.6449,101,0.001633,,
155,29263,0.6386,0.0000,256,0.001860,,
156,29519,0.6355,0.0000,256,0.001551,,
157,29775,0.6323,0.0000,256,0.001648,,
158,30031,0.6291,0.0000,256,0.002284,,
159,30287,0.6260,0.0000,256,0.002255,,
160,30543,0.6228,0.0000,256,0.001817,,
161,30799,0.6196,0.0000,256,0.002078,,
162,31055,0.6165,0.0000,256,0.002265,,
163,31311,0.6133,0.0000,256,0.002322,,
